NumOrden,Obser,Hor_Ini,Hor_Fin
RF-002423348,"No fue posible realizar la navegacion de RF-002423348. Se requiere una segunda subida o revision manual.",20:56:09,20:56:22
RF-002442040,"No fue posible realizar la navegacion de RF-002442040. Se requiere una segunda subida o revision manual.",20:59:06,20:59:16
RF-002429636,"No fue posible realizar la navegacion de RF-002429636. Se requiere una segunda subida o revision manual.",21:00:25,21:00:36
RF-002440882,"No fue posible realizar la navegacion de RF-002440882. Se requiere una segunda subida o revision manual.",21:03:41,21:03:53
RF-002434719,"No fue posible realizar la navegacion de RF-002434719. Se requiere una segunda subida o revision manual.",21:11:00,21:11:10
RM-000168377,"No fue posible realizar la navegacion de RM-000168377. Se requiere una segunda subida o revision manual.",21:11:21,21:11:32
RF-002422490,"No fue posible realizar la navegacion de RF-002422490. Se requiere una segunda subida o revision manual.",21:11:44,21:11:55
RF-002445181,"No fue posible realizar la navegacion de RF-002445181. Se requiere una segunda subida o revision manual.",21:17:55,21:18:08
RF-002448754,"No fue posible realizar la navegacion de RF-002448754. Se requiere una segunda subida o revision manual.",21:18:34,21:18:46
RF-002441986,"No fue posible realizar la navegacion de RF-002441986. Se requiere una segunda subida o revision manual.",21:19:19,21:19:31
RF-002433243,"No fue posible realizar la navegacion de RF-002433243. Se requiere una segunda subida o revision manual.",21:22:53,21:23:04
RM-000167995,"No fue posible realizar la navegacion de RM-000167995. Se requiere una segunda subida o revision manual.",21:23:04,21:23:15
RF-002425427,"No fue posible realizar la navegacion de RF-002425427. Se requiere una segunda subida o revision manual.",21:23:15,21:23:26
RF-002446163,"No fue posible realizar la navegacion de RF-002446163. Se requiere una segunda subida o revision manual.",21:23:38,21:23:50
RF-002447595,"No fue posible realizar la navegacion de RF-002447595. Se requiere una segunda subida o revision manual.",21:34:26,21:34:40
RF-002420287,"No fue posible realizar la navegacion de RF-002420287. Se requiere una segunda subida o revision manual.",21:56:49,21:57:01
RF-002419876,"No fue posible realizar la navegacion de RF-002419876. Se requiere una segunda subida o revision manual.",22:01:42,22:01:55
RF-002429452,"No fue posible realizar la navegacion de RF-002429452. Se requiere una segunda subida o revision manual.",22:05:44,22:05:53
